mora_60,dias_atraso_12_meses_antes,situacion_casa,edad,fecha_ingreso_empleo,antiguedad_tc_meses,producto_pasivo_12_meses_antes,ingreso_mensual,monto_linea_tc,monto_saldo_deudor_prom,score_aprob_tc,nro_veces_abono_12m_antes,zona_geografica,riesgos_sbs,nivel_educativo,edad_binned
0,0,FAMILIAR,30,2005-09-01,7,12,2000.0,9065.38,5233.5,200,0,Lima,0,PROFESIONAL,joven
0,9,FAMILIAR,29,2001-11-27,0,12,1107.6,1650.0,3025.91,175,11,Piura,1,TECNICO,joven
0,0,FAMILIAR,23,2007-06-15,0,12,1185.05,0.0,4336.36,156,12,Puno,0,TECNICO,joven
0,17,FAMILIAR,47,1997-01-01,0,3,3000.0,13988.17,0.0,217,0,Lima,1,PROFESIONAL,adulto
0,9,FAMILIAR,40,2005-10-01,17,7,900.0,4845.56,0.0,207,7,Lambayeque,0,PROFESIONAL,joven
0,19,PROPIA,29,2005-01-15,0,12,2301.9,0.0,1886.48,212,9,La Libertad,1,PROFESIONAL,joven
0,0,PROPIA,27,2004-08-01,0,12,2097.4,0.0,0.0,211,12,Lima,0,TECNICO,joven
0,0,FAMILIAR,31,2006-07-01,0,12,908.5,2145.14,4168.6,175,12,Lima,0,TECNICO,joven
0,1,PROPIA,26,2006-05-01,0,12,664.37,0.0,1951.27,188,12,Ayacucho,0,TECNICO,joven
0,2,FAMILIAR,23,2005-07-01,3,12,1368.6,1727.25,5501.75,156,12,Piura,1,TECNICO,joven
0,12,FAMILIAR,36,2001-01-01,30,12,2100.0,0.0,9594.57,213,0,Lima,1,TECNICO,joven
0,1,FAMILIAR,31,2005-02-01,0,12,1500.0,0.0,10229.82,170,12,Lima,0,TECNICO,joven
0,5,FAMILIAR,48,2001-02-01,0,12,1540.0,0.0,57094.38,201,0,Lima,1,TECNICO,adulto
0,0,PROPIA,50,2006-08-01,0,12,1182.72,0.0,1093.67,199,10,La Libertad,0,TECNICO,adulto
0,0,FAMILIAR,27,2000-01-01,8,12,2100.0,1717.06,432.86,187,0,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,28,2007-03-01,19,12,2100.0,1540.0,5656.79,205,0,Lima,0,TECNICO,joven
